historical_true_size,purchased_size,shoe_type,customer_width,is_kept,shoe_type_encoded,customer_width_encoded
11.0,10.5,running,standard,0,0,1
9.5,9.0,lifestyle,wide,0,1,2
11.5,11.0,running,narrow,0,0,0
10.0,10.0,lifestyle,narrow,1,1,0
11.0,11.0,running,wide,0,0,2
9.0,9.0,running,standard,0,0,1
11.0,11.5,lifestyle,wide,0,1,2
11.5,11.5,lifestyle,narrow,1,1,0
10.0,10.0,lifestyle,wide,1,1,2
9.5,10.0,running,standard,1,0,1
11.5,11.5,lifestyle,narrow,1,1,0
11.5,11.5,running,standard,0,0,1
9.0,8.5,lifestyle,wide,0,1,2
10.5,11.0,lifestyle,wide,0,1,2
10.0,10.0,lifestyle,standard,1,1,1
8.5,9.0,lifestyle,wide,1,1,2
11.5,11.5,lifestyle,standard,1,1,1
10.5,10.5,lifestyle,wide,1,1,2
8.5,9.0,running,standard,1,0,1
10.0,10.5,lifestyle,standard,1,1,1
8.0,7.5,running,narrow,0,0,0
10.5,11.0,lifestyle,narrow,0,1,0
12.0,12.0,lifestyle,standard,1,1,1
8.0,8.0,lifestyle,wide,1,1,2
9.0,9.0,running,wide,0,0,2
11.0,11.0,running,wide,0,0,2
9.5,9.5,lifestyle,standard,1,1,1
12.0,12.0,running,standard,1,0,1
9.0,8.5,lifestyle,standard,0,1,1
10.0,10.0,lifestyle,standard,1,1,1
9.0,9.5,running,narrow,1,0,0
11.0,11.5,running,standard,1,0,1
10.0,10.5,running,wide,1,0,2
12.0,12.0,running,narrow,0,0,0
11.0,11.0,lifestyle,wide,1,1,2
8.5,9.0,running,standard,1,0,1
9.5,10.0,running,narrow,1,0,0
12.0,12.0,lifestyle,standard,1,1,1
8.5,9.0,running,narrow,1,0,0
12.0,12.5,running,wide,0,0,2
10.0,10.5,running,standard,1,0,1
8.5,8.5,running,standard,0,0,1
9.5,9.0,lifestyle,narrow,1,1,0
11.0,11.0,lifestyle,narrow,1,1,0
11.5,11.5,running,standard,0,0,1
9.0,9.0,running,narrow,0,0,0
8.0,8.0,lifestyle,standard,1,1,1
9.5,10.0,running,narrow,1,0,0
8.5,8.5,running,wide,0,0,2
11.5,11.5,running,narrow,1,0,0
9.5,9.5,running,wide,0,0,2
8.5,8.5,running,narrow,0,0,0
10.5,11.0,running,narrow,1,0,0
10.5,10.5,running,standard,0,0,1
9.5,10.0,running,narrow,1,0,0
10.5,10.5,running,narrow,0,0,0
8.5,8.0,lifestyle,wide,0,1,2
8.5,9.0,lifestyle,narrow,0,1,0
9.5,9.5,lifestyle,standard,0,1,1
11.5,11.5,running,wide,1,0,2
11.0,11.0,running,standard,0,0,1
12.0,12.0,lifestyle,standard,1,1,1
11.5,11.5,running,standard,0,0,1
10.0,10.5,lifestyle,standard,1,1,1
8.5,8.5,running,wide,0,0,2
10.0,10.5,lifestyle,narrow,0,1,0
11.5,11.5,lifestyle,standard,1,1,1
12.0,12.0,lifestyle,wide,1,1,2
12.0,12.0,running,standard,1,0,1
8.0,8.0,lifestyle,narrow,1,1,0
12.0,12.0,running,wide,0,0,2
11.0,10.5,running,wide,0,0,2
12.0,12.0,running,narrow,1,0,0
11.5,12.0,running,wide,1,0,2
8.0,7.5,running,narrow,0,0,0
11.5,12.0,running,wide,1,0,2
11.5,11.5,running,wide,1,0,2
9.0,9.0,lifestyle,narrow,1,1,0
8.0,8.0,lifestyle,narrow,1,1,0
11.5,11.0,lifestyle,wide,1,1,2
9.0,9.5,running,wide,1,0,2
9.0,9.0,running,narrow,1,0,0
8.0,8.0,running,narrow,0,0,0
10.0,10.0,running,wide,0,0,2
11.0,11.0,lifestyle,wide,1,1,2
12.0,12.0,running,wide,0,0,2
11.0,11.5,lifestyle,narrow,0,1,0
12.0,12.0,running,wide,0,0,2
11.5,12.0,lifestyle,standard,0,1,1
8.5,9.0,running,narrow,1,0,0
8.0,8.0,lifestyle,wide,1,1,2
11.0,11.0,running,narrow,0,0,0
11.0,11.0,lifestyle,standard,1,1,1
11.5,11.5,running,narrow,0,0,0
10.0,10.0,lifestyle,wide,1,1,2
9.0,9.5,lifestyle,standard,0,1,1
11.5,11.5,running,standard,0,0,1
10.5,10.5,lifestyle,wide,1,1,2
9.0,9.0,running,wide,0,0,2
8.0,8.0,running,wide,0,0,2
9.0,9.5,running,narrow,1,0,0
10.0,10.0,lifestyle,narrow,1,1,0
9.0,8.5,lifestyle,narrow,0,1,0
8.0,8.0,running,wide,0,0,2
10.0,10.5,running,wide,1,0,2
11.0,11.0,lifestyle,narrow,1,1,0
11.0,11.5,lifestyle,standard,0,1,1
12.0,11.5,lifestyle,narrow,0,1,0
9.0,9.0,running,standard,0,0,1
11.0,11.0,running,wide,0,0,2
8.0,8.0,running,wide,0,0,2
9.5,9.5,running,narrow,0,0,0
9.5,9.5,running,narrow,0,0,0
10.0,10.0,lifestyle,wide,1,1,2
11.0,11.0,running,narrow,0,0,0
11.0,11.0,lifestyle,wide,1,1,2
9.5,9.5,lifestyle,wide,1,1,2
11.0,11.5,running,standard,1,0,1
9.0,9.0,lifestyle,narrow,1,1,0
10.5,10.5,running,wide,0,0,2
8.5,8.5,lifestyle,narrow,1,1,0
12.0,12.5,running,standard,1,0,1
10.0,10.5,running,standard,1,0,1
10.5,10.5,lifestyle,narrow,0,1,0
9.5,9.5,running,narrow,0,0,0
11.0,11.5,lifestyle,wide,0,1,2
12.0,12.5,running,standard,1,0,1
11.0,11.0,running,standard,0,0,1
8.0,8.5,running,standard,1,0,1
8.0,8.0,lifestyle,narrow,1,1,0
12.0,12.5,lifestyle,wide,0,1,2
12.0,12.0,running,narrow,0,0,0
9.5,9.5,lifestyle,narrow,0,1,0
12.0,12.0,running,narrow,1,0,0
9.0,9.5,lifestyle,wide,0,1,2
11.0,11.5,lifestyle,narrow,1,1,0
10.5,10.5,running,standard,0,0,1
11.5,11.5,running,standard,0,0,1
12.0,12.0,running,standard,1,0,1
10.0,10.0,running,wide,0,0,2
8.0,8.0,running,narrow,0,0,0
9.0,9.0,lifestyle,wide,0,1,2
11.5,12.0,lifestyle,narrow,1,1,0
10.5,10.0,running,standard,0,0,1
11.5,11.0,running,narrow,0,0,0
12.0,12.0,running,narrow,1,0,0
9.5,9.5,lifestyle,narrow,1,1,0
8.0,8.5,running,wide,1,0,2
8.0,8.0,running,narrow,0,0,0
9.5,9.5,lifestyle,narrow,1,1,0
11.0,11.0,lifestyle,narrow,1,1,0
8.5,8.5,lifestyle,wide,1,1,2
9.0,9.0,lifestyle,wide,1,1,2
8.0,8.0,running,wide,1,0,2
10.0,10.0,lifestyle,narrow,1,1,0
8.0,8.0,lifestyle,standard,1,1,1
11.5,11.0,running,standard,0,0,1
8.0,7.5,running,standard,1,0,1
8.0,8.0,running,narrow,1,0,0
8.5,8.5,lifestyle,standard,1,1,1
8.5,9.0,running,standard,0,0,1
10.5,10.5,lifestyle,standard,1,1,1
11.0,11.0,lifestyle,narrow,1,1,0
10.0,9.5,lifestyle,standard,1,1,1
8.0,8.0,running,standard,1,0,1
8.0,8.0,lifestyle,narrow,1,1,0
9.0,9.5,running,wide,1,0,2
8.5,8.5,running,standard,0,0,1
10.0,10.0,running,wide,0,0,2
10.5,10.5,lifestyle,standard,1,1,1
11.0,11.5,lifestyle,narrow,1,1,0
9.5,9.5,lifestyle,wide,1,1,2
11.0,11.0,running,wide,0,0,2
11.5,12.0,lifestyle,wide,1,1,2
8.0,8.5,lifestyle,wide,0,1,2
10.5,11.0,lifestyle,standard,0,1,1
11.5,11.5,lifestyle,standard,1,1,1
10.0,10.0,lifestyle,wide,1,1,2
9.5,9.0,running,standard,0,0,1
8.5,8.5,running,wide,0,0,2
10.5,10.5,running,wide,0,0,2
10.5,11.0,running,narrow,1,0,0
8.0,8.5,lifestyle,wide,0,1,2
12.0,12.0,running,standard,1,0,1
10.5,10.5,lifestyle,wide,1,1,2
9.0,8.5,running,narrow,0,0,0
9.5,10.0,running,standard,1,0,1
9.5,9.5,running,narrow,1,0,0
9.0,9.5,lifestyle,narrow,1,1,0
9.0,9.0,lifestyle,wide,1,1,2
9.0,9.0,running,narrow,0,0,0
9.5,10.0,lifestyle,narrow,0,1,0
11.0,11.0,running,standard,0,0,1
9.5,9.5,running,narrow,0,0,0
12.0,12.5,running,wide,1,0,2
8.0,8.0,lifestyle,wide,1,1,2
11.5,11.0,running,wide,0,0,2
11.0,11.0,running,narrow,0,0,0
8.5,8.0,running,standard,0,0,1
11.5,12.0,lifestyle,wide,0,1,2
8.0,8.5,running,narrow,1,0,0
12.0,12.5,lifestyle,wide,0,1,2
12.0,12.0,running,wide,0,0,2
8.5,8.0,lifestyle,standard,0,1,1
11.0,11.0,running,wide,1,0,2
9.0,9.5,running,standard,1,0,1
11.0,11.0,lifestyle,narrow,1,1,0
12.0,12.0,lifestyle,wide,1,1,2
9.5,10.0,running,narrow,1,0,0
8.0,8.0,lifestyle,narrow,1,1,0
8.5,8.5,running,narrow,0,0,0
8.0,8.0,running,wide,0,0,2
10.0,10.5,running,standard,1,0,1
10.0,10.0,lifestyle,wide,1,1,2
11.0,11.5,running,narrow,0,0,0
12.0,12.0,lifestyle,standard,1,1,1
12.0,12.5,running,narrow,1,0,0
9.0,8.5,lifestyle,standard,0,1,1
9.0,9.0,lifestyle,wide,0,1,2
9.0,9.5,running,standard,1,0,1
9.5,10.0,lifestyle,wide,0,1,2
11.5,11.5,running,narrow,0,0,0
10.5,11.0,running,standard,1,0,1
11.5,12.0,running,narrow,0,0,0
8.0,7.5,running,standard,0,0,1
11.5,11.5,running,wide,1,0,2
9.5,10.0,lifestyle,standard,1,1,1
8.0,8.0,running,standard,0,0,1
11.5,11.5,lifestyle,wide,1,1,2
9.5,10.0,lifestyle,wide,0,1,2
10.5,10.5,running,wide,0,0,2
11.5,11.0,lifestyle,standard,0,1,1
9.5,10.0,running,narrow,1,0,0
9.0,9.0,lifestyle,standard,0,1,1
12.0,12.5,lifestyle,standard,0,1,1
9.0,9.5,lifestyle,narrow,1,1,0
12.0,11.5,running,wide,0,0,2
8.5,8.5,lifestyle,standard,1,1,1
8.5,8.5,running,narrow,0,0,0
8.5,8.5,lifestyle,wide,1,1,2
10.5,10.5,lifestyle,wide,0,1,2
9.0,9.0,lifestyle,standard,1,1,1
12.0,12.0,lifestyle,wide,1,1,2
9.5,9.5,running,wide,0,0,2
8.0,8.0,running,narrow,0,0,0
9.5,9.5,lifestyle,narrow,1,1,0
8.0,8.0,lifestyle,wide,1,1,2
10.0,10.0,running,narrow,1,0,0
9.5,9.5,running,wide,0,0,2
11.5,11.0,running,standard,0,0,1
11.5,11.5,running,narrow,0,0,0
11.0,11.5,lifestyle,wide,0,1,2
9.0,8.5,lifestyle,wide,0,1,2
8.0,8.0,running,narrow,1,0,0
8.0,8.0,running,narrow,0,0,0
9.0,8.5,running,standard,0,0,1
10.5,10.5,running,wide,0,0,2
11.0,11.5,running,standard,1,0,1
10.5,10.5,running,standard,1,0,1
10.5,11.0,lifestyle,standard,0,1,1
10.5,10.5,lifestyle,narrow,1,1,0
9.0,9.0,lifestyle,standard,1,1,1
10.5,10.5,running,narrow,1,0,0
11.5,11.5,running,narrow,1,0,0
8.5,8.5,running,standard,1,0,1
10.0,10.0,lifestyle,standard,1,1,1
8.0,8.0,running,wide,1,0,2
8.0,8.0,running,standard,0,0,1
10.0,10.0,lifestyle,wide,1,1,2
9.0,9.0,running,standard,1,0,1
9.5,9.5,lifestyle,standard,1,1,1
9.0,9.0,lifestyle,standard,1,1,1
8.0,8.5,running,standard,1,0,1
8.0,8.0,lifestyle,wide,1,1,2
10.0,10.0,running,wide,0,0,2
10.5,10.5,lifestyle,standard,0,1,1
9.0,9.5,running,standard,1,0,1
12.0,11.5,lifestyle,wide,0,1,2
10.0,10.0,running,narrow,1,0,0
11.5,11.5,lifestyle,narrow,0,1,0
8.0,8.0,lifestyle,narrow,1,1,0
10.0,10.0,lifestyle,wide,1,1,2
9.0,9.0,running,wide,0,0,2
8.0,8.5,running,narrow,1,0,0
9.5,9.5,lifestyle,narrow,1,1,0
10.0,10.0,running,standard,0,0,1
11.0,11.0,lifestyle,wide,1,1,2
8.0,8.0,running,wide,0,0,2
9.0,9.0,lifestyle,narrow,1,1,0
8.5,8.0,running,narrow,0,0,0
12.0,12.0,lifestyle,wide,1,1,2
10.5,10.5,lifestyle,standard,1,1,1
9.0,9.0,lifestyle,narrow,1,1,0
11.5,11.0,lifestyle,wide,0,1,2
11.5,11.5,running,wide,0,0,2
8.5,8.5,lifestyle,standard,1,1,1
10.5,11.0,running,standard,1,0,1
11.0,11.0,running,narrow,0,0,0
8.5,8.5,lifestyle,narrow,1,1,0
8.5,9.0,running,narrow,1,0,0
8.0,8.0,running,wide,1,0,2
11.5,12.0,running,narrow,1,0,0
8.0,7.5,lifestyle,wide,0,1,2
12.0,12.0,running,narrow,0,0,0
10.5,10.5,running,standard,1,0,1
11.0,11.5,lifestyle,standard,1,1,1
11.0,11.0,lifestyle,wide,1,1,2
9.0,9.5,running,standard,1,0,1
8.5,8.5,lifestyle,wide,0,1,2
12.0,12.5,running,wide,0,0,2
11.5,11.5,running,standard,0,0,1
11.0,11.0,running,wide,0,0,2
12.0,12.5,lifestyle,standard,0,1,1
9.5,10.0,running,narrow,1,0,0
9.5,9.5,lifestyle,narrow,1,1,0
8.0,7.5,lifestyle,standard,0,1,1
11.5,11.5,running,standard,1,0,1
9.0,9.0,lifestyle,standard,1,1,1
11.0,10.5,lifestyle,standard,1,1,1
8.5,8.5,lifestyle,narrow,1,1,0
8.5,8.5,lifestyle,wide,1,1,2
11.0,11.5,lifestyle,wide,0,1,2
10.5,10.0,running,narrow,0,0,0
9.0,9.0,lifestyle,wide,1,1,2
12.0,12.0,running,narrow,0,0,0
10.5,10.5,running,wide,1,0,2
10.5,10.5,running,standard,0,0,1
8.0,8.0,running,standard,0,0,1
9.5,9.5,running,standard,0,0,1
10.5,11.0,running,narrow,1,0,0
10.5,10.5,lifestyle,narrow,1,1,0
10.0,10.5,lifestyle,wide,1,1,2
8.0,8.5,lifestyle,wide,0,1,2
11.5,12.0,running,wide,1,0,2
10.0,10.0,lifestyle,narrow,1,1,0
10.0,10.0,lifestyle,wide,1,1,2
11.0,11.0,lifestyle,standard,1,1,1
9.5,9.5,running,wide,0,0,2
10.5,10.5,lifestyle,standard,1,1,1
9.5,9.5,running,narrow,0,0,0
9.0,9.0,lifestyle,standard,1,1,1
11.0,11.0,running,standard,0,0,1
11.5,11.5,running,standard,0,0,1
9.5,10.0,running,narrow,1,0,0
8.5,8.5,lifestyle,narrow,1,1,0
9.0,9.0,lifestyle,narrow,1,1,0
8.0,8.0,running,narrow,1,0,0
11.5,12.0,lifestyle,wide,1,1,2
9.0,9.0,running,narrow,0,0,0
11.0,11.0,running,standard,0,0,1
10.0,10.0,lifestyle,narrow,1,1,0
10.0,10.0,lifestyle,wide,0,1,2
11.0,11.0,lifestyle,wide,1,1,2
12.0,12.5,running,wide,1,0,2
10.0,10.5,running,standard,1,0,1
8.0,8.5,lifestyle,narrow,0,1,0
8.0,8.5,running,narrow,1,0,0
8.5,8.5,lifestyle,narrow,1,1,0
10.5,11.0,running,standard,1,0,1
12.0,12.0,lifestyle,standard,1,1,1
11.5,11.5,lifestyle,wide,1,1,2
10.0,10.0,running,wide,0,0,2
8.0,7.5,lifestyle,narrow,0,1,0
11.0,11.0,lifestyle,standard,1,1,1
10.0,10.0,running,standard,1,0,1
10.5,10.5,lifestyle,narrow,1,1,0
11.0,11.5,running,narrow,1,0,0
9.0,8.5,lifestyle,wide,0,1,2
9.0,9.0,running,wide,0,0,2
10.0,10.5,lifestyle,wide,0,1,2
10.5,10.5,lifestyle,narrow,0,1,0
12.0,12.5,lifestyle,narrow,0,1,0
10.0,10.0,lifestyle,wide,1,1,2
8.0,8.5,running,wide,1,0,2
9.5,9.5,running,standard,0,0,1
10.0,9.5,running,standard,0,0,1
10.0,10.0,running,wide,0,0,2
11.0,11.0,running,wide,0,0,2
9.5,10.0,running,standard,0,0,1
8.0,8.0,running,wide,0,0,2
10.0,10.0,lifestyle,standard,1,1,1
11.0,11.0,lifestyle,standard,1,1,1
10.5,11.0,lifestyle,standard,0,1,1
10.0,10.0,lifestyle,narrow,1,1,0
9.5,10.0,running,narrow,1,0,0
8.5,8.0,running,wide,0,0,2
9.5,9.5,running,standard,0,0,1
9.0,9.0,lifestyle,narrow,1,1,0
8.0,8.5,running,wide,1,0,2
11.5,12.0,lifestyle,wide,0,1,2
10.0,9.5,running,wide,0,0,2
9.5,9.0,running,wide,0,0,2
11.5,12.0,running,wide,1,0,2
11.0,11.0,running,standard,0,0,1
8.5,8.5,lifestyle,wide,1,1,2
8.0,7.5,lifestyle,standard,0,1,1
9.5,9.0,running,narrow,0,0,0
11.5,11.5,lifestyle,wide,0,1,2
8.5,8.0,running,narrow,0,0,0
9.0,9.0,running,standard,1,0,1
8.0,8.5,running,standard,1,0,1
8.0,8.0,running,narrow,1,0,0
9.0,9.5,lifestyle,wide,0,1,2
10.0,9.5,running,wide,0,0,2
9.0,9.0,running,narrow,1,0,0
8.0,8.0,lifestyle,narrow,1,1,0
8.0,8.5,running,narrow,1,0,0
11.5,11.5,lifestyle,wide,1,1,2
8.5,9.0,running,wide,1,0,2
9.0,9.0,running,wide,0,0,2
8.5,8.5,running,narrow,0,0,0
9.0,9.5,running,wide,1,0,2
11.0,11.0,running,standard,0,0,1
8.0,8.0,running,narrow,1,0,0
11.5,12.0,lifestyle,wide,1,1,2
8.5,8.5,running,narrow,1,0,0
9.0,8.5,lifestyle,standard,0,1,1
12.0,12.5,lifestyle,standard,1,1,1
11.0,11.0,running,narrow,0,0,0
9.5,10.0,lifestyle,narrow,1,1,0
10.0,10.0,running,standard,0,0,1
8.5,9.0,lifestyle,narrow,1,1,0
11.5,11.5,running,standard,0,0,1
9.5,10.0,lifestyle,standard,0,1,1
12.0,12.0,lifestyle,wide,1,1,2
10.0,9.5,running,narrow,0,0,0
12.0,12.0,lifestyle,narrow,1,1,0
9.5,9.5,running,wide,0,0,2
10.0,10.5,running,standard,1,0,1
12.0,12.5,running,narrow,1,0,0
11.5,11.5,running,wide,0,0,2
9.0,9.5,running,wide,1,0,2
8.0,8.0,lifestyle,narrow,1,1,0
9.0,9.0,lifestyle,wide,0,1,2
9.5,9.5,lifestyle,standard,1,1,1
8.5,8.5,running,wide,0,0,2
8.0,7.5,lifestyle,standard,0,1,1
11.0,11.5,lifestyle,standard,1,1,1
11.5,11.0,lifestyle,narrow,0,1,0
11.0,11.0,lifestyle,wide,1,1,2
10.0,9.5,lifestyle,standard,0,1,1
8.0,8.5,running,standard,1,0,1
11.0,11.0,running,wide,0,0,2
11.0,11.0,lifestyle,standard,1,1,1
12.0,12.0,running,wide,0,0,2
9.0,9.5,running,narrow,1,0,0
12.0,12.0,lifestyle,standard,1,1,1
8.0,8.5,lifestyle,standard,1,1,1
8.0,8.0,running,wide,1,0,2
9.5,10.0,lifestyle,wide,0,1,2
12.0,11.5,running,wide,1,0,2
10.5,10.5,running,wide,0,0,2
9.0,9.0,lifestyle,standard,1,1,1
8.0,7.5,running,narrow,0,0,0
9.5,9.5,running,narrow,0,0,0
12.0,12.5,running,narrow,1,0,0
9.0,9.5,lifestyle,narrow,1,1,0
12.0,12.5,lifestyle,wide,1,1,2
11.0,11.0,lifestyle,standard,1,1,1
9.5,9.5,lifestyle,standard,1,1,1
9.0,9.0,running,standard,0,0,1
10.0,10.0,lifestyle,wide,1,1,2
10.0,10.5,lifestyle,standard,1,1,1
9.0,9.0,lifestyle,wide,1,1,2
12.0,12.5,lifestyle,standard,0,1,1
9.5,9.5,running,narrow,1,0,0
10.0,10.5,running,wide,1,0,2
9.5,9.0,running,standard,0,0,1
10.0,10.5,lifestyle,narrow,1,1,0
11.0,11.0,lifestyle,narrow,1,1,0
12.0,12.0,running,narrow,0,0,0
11.0,11.5,lifestyle,wide,0,1,2
10.0,10.0,lifestyle,wide,1,1,2
11.0,11.0,running,standard,1,0,1
10.0,10.0,running,narrow,0,0,0
9.0,9.0,lifestyle,standard,1,1,1
11.0,11.0,lifestyle,standard,1,1,1
8.5,8.5,lifestyle,narrow,1,1,0
12.0,12.0,running,standard,0,0,1
8.0,8.0,running,wide,1,0,2
10.5,10.5,running,standard,0,0,1
11.0,11.0,running,narrow,1,0,0
11.5,12.0,lifestyle,wide,0,1,2
12.0,12.5,running,wide,1,0,2
8.5,8.5,running,standard,1,0,1
8.5,8.5,lifestyle,standard,1,1,1
10.0,10.0,lifestyle,wide,1,1,2
10.0,10.5,lifestyle,standard,1,1,1
10.5,10.5,running,narrow,0,0,0
9.0,9.0,lifestyle,standard,1,1,1
11.5,11.5,lifestyle,standard,1,1,1
8.0,8.0,running,wide,1,0,2
10.5,10.0,running,standard,0,0,1
9.5,9.5,lifestyle,standard,1,1,1
8.0,8.0,running,standard,0,0,1
11.0,11.0,lifestyle,narrow,1,1,0
12.0,12.0,lifestyle,standard,1,1,1
9.5,10.0,running,narrow,1,0,0
9.5,9.5,lifestyle,narrow,1,1,0
10.5,10.5,running,narrow,0,0,0
9.0,8.5,running,narrow,0,0,0
10.5,10.5,running,wide,1,0,2
11.0,11.0,lifestyle,narrow,1,1,0
9.0,9.0,running,standard,0,0,1
11.0,11.5,running,narrow,1,0,0
9.0,9.0,lifestyle,standard,1,1,1
8.5,8.5,lifestyle,narrow,1,1,0
9.5,9.5,lifestyle,wide,1,1,2
11.5,11.5,lifestyle,narrow,1,1,0
12.0,12.5,running,narrow,1,0,0
11.0,11.0,running,wide,1,0,2
8.0,8.0,running,narrow,0,0,0
9.0,9.5,lifestyle,standard,1,1,1
12.0,12.5,lifestyle,narrow,0,1,0
8.0,8.0,running,narrow,0,0,0
12.0,12.0,lifestyle,narrow,1,1,0
11.5,11.5,lifestyle,wide,1,1,2
8.0,8.0,running,narrow,1,0,0
10.5,11.0,running,narrow,1,0,0
10.0,10.0,lifestyle,standard,1,1,1
10.5,10.5,lifestyle,narrow,1,1,0
10.0,10.0,lifestyle,narrow,1,1,0
10.5,10.5,running,narrow,1,0,0
10.0,10.0,running,narrow,0,0,0
10.0,10.5,running,standard,1,0,1
9.5,9.5,running,standard,1,0,1
9.0,8.5,running,wide,0,0,2
9.0,9.5,lifestyle,narrow,0,1,0
9.5,9.5,lifestyle,wide,1,1,2
12.0,12.5,lifestyle,wide,1,1,2
8.5,8.0,running,narrow,0,0,0
12.0,12.0,running,standard,0,0,1
8.0,8.0,running,standard,0,0,1
8.0,8.5,lifestyle,narrow,1,1,0
10.0,9.5,running,narrow,0,0,0
10.5,10.5,running,standard,0,0,1
10.5,11.0,lifestyle,narrow,0,1,0
9.0,9.0,running,narrow,0,0,0
11.0,11.0,lifestyle,narrow,1,1,0
12.0,11.5,running,standard,0,0,1
11.5,11.5,running,wide,0,0,2
10.5,10.5,lifestyle,wide,1,1,2
11.5,11.5,lifestyle,narrow,1,1,0
10.0,10.5,lifestyle,standard,0,1,1
11.5,12.0,lifestyle,narrow,0,1,0
9.5,9.5,lifestyle,standard,1,1,1
11.5,12.0,lifestyle,narrow,0,1,0
8.5,8.5,running,standard,0,0,1
10.0,10.0,running,standard,0,0,1
12.0,12.0,lifestyle,wide,1,1,2
9.5,9.5,running,narrow,0,0,0
10.5,11.0,lifestyle,wide,0,1,2
8.0,8.0,running,wide,1,0,2
12.0,12.0,lifestyle,standard,1,1,1
8.0,8.0,running,narrow,1,0,0
10.0,10.0,running,standard,0,0,1
9.5,9.5,running,standard,0,0,1
9.0,9.0,running,standard,1,0,1
10.5,10.5,running,narrow,0,0,0
8.5,9.0,lifestyle,narrow,0,1,0
9.0,9.0,lifestyle,standard,0,1,1
10.0,10.0,lifestyle,narrow,1,1,0
12.0,12.0,running,standard,0,0,1
8.5,9.0,lifestyle,narrow,0,1,0
11.5,11.5,running,narrow,1,0,0
8.5,9.0,running,wide,1,0,2
10.0,10.5,running,standard,1,0,1
11.0,11.5,lifestyle,wide,0,1,2
11.5,12.0,running,wide,1,0,2
8.0,8.5,lifestyle,standard,0,1,1
10.5,10.5,lifestyle,standard,1,1,1
8.0,8.5,running,narrow,1,0,0
8.5,8.5,running,standard,0,0,1
8.0,8.5,lifestyle,wide,1,1,2
10.0,9.5,lifestyle,wide,1,1,2
12.0,12.0,lifestyle,standard,1,1,1
10.5,10.5,lifestyle,wide,1,1,2
8.0,8.0,lifestyle,narrow,1,1,0
8.0,8.0,lifestyle,wide,1,1,2
8.5,8.5,running,narrow,0,0,0
12.0,12.5,lifestyle,wide,0,1,2
9.0,9.0,lifestyle,narrow,1,1,0
8.0,8.0,lifestyle,narrow,1,1,0
10.0,10.5,lifestyle,standard,0,1,1
11.0,11.0,running,narrow,0,0,0
10.5,10.5,running,standard,0,0,1
8.0,8.0,lifestyle,wide,1,1,2
10.0,10.5,lifestyle,wide,0,1,2
10.0,10.0,lifestyle,wide,1,1,2
10.5,10.5,running,narrow,1,0,0
9.0,9.0,running,wide,0,0,2
10.0,10.0,running,wide,0,0,2
11.0,11.0,running,standard,0,0,1
10.0,10.5,running,standard,1,0,1
10.0,10.5,running,wide,1,0,2
10.0,10.0,lifestyle,wide,0,1,2
9.0,9.0,running,narrow,0,0,0
8.0,8.5,running,narrow,1,0,0
10.0,10.0,lifestyle,wide,1,1,2
12.0,12.0,running,standard,0,0,1
8.0,8.0,lifestyle,wide,1,1,2
9.0,9.0,running,narrow,0,0,0
9.5,10.0,lifestyle,standard,0,1,1
8.0,8.0,lifestyle,standard,1,1,1
8.0,8.0,lifestyle,narrow,0,1,0
11.5,11.5,lifestyle,wide,1,1,2
8.5,9.0,lifestyle,wide,0,1,2
11.5,11.5,running,wide,0,0,2
11.0,11.0,running,narrow,0,0,0
8.5,8.5,lifestyle,standard,1,1,1
10.5,10.5,lifestyle,narrow,1,1,0
10.5,10.0,lifestyle,wide,0,1,2
9.0,8.5,running,narrow,0,0,0
8.5,8.5,lifestyle,standard,1,1,1
8.0,8.0,lifestyle,narrow,1,1,0
10.5,11.0,lifestyle,wide,0,1,2
10.0,10.0,lifestyle,standard,1,1,1
12.0,11.5,running,narrow,0,0,0
8.0,8.0,lifestyle,narrow,1,1,0
11.0,11.0,lifestyle,standard,1,1,1
10.0,10.0,running,standard,0,0,1
10.0,10.5,lifestyle,wide,1,1,2
8.5,9.0,lifestyle,standard,0,1,1
9.0,9.0,running,wide,1,0,2
11.0,11.0,running,narrow,0,0,0
10.5,10.0,running,wide,0,0,2
8.5,8.5,lifestyle,narrow,1,1,0
10.5,10.5,lifestyle,standard,1,1,1
8.5,8.5,running,narrow,0,0,0
8.5,9.0,running,standard,1,0,1
8.5,8.0,running,narrow,1,0,0
9.0,9.0,lifestyle,narrow,1,1,0
8.5,9.0,lifestyle,narrow,0,1,0
9.5,9.5,running,narrow,1,0,0
12.0,11.5,lifestyle,wide,0,1,2
10.5,10.5,running,narrow,0,0,0
8.0,8.0,lifestyle,wide,1,1,2
11.5,12.0,lifestyle,standard,0,1,1
11.0,11.5,lifestyle,standard,0,1,1
9.0,9.5,lifestyle,wide,0,1,2
8.0,8.5,running,standard,1,0,1
10.0,10.0,lifestyle,standard,1,1,1
9.5,10.0,lifestyle,narrow,1,1,0
11.5,12.0,running,narrow,1,0,0
8.0,8.0,lifestyle,narrow,1,1,0
8.0,8.0,running,wide,0,0,2
9.5,9.5,running,wide,0,0,2
11.5,11.5,lifestyle,standard,1,1,1
10.0,9.5,lifestyle,narrow,0,1,0
8.5,9.0,running,wide,1,0,2
10.5,11.0,running,wide,1,0,2
